date,country,location,cases_new,deaths_new,cases_cumulative,deaths_cumulative,hcw_cumulative,cases_cumulative_confirmed,deaths_cumulative_confirmed,cumulative_confirmed_hcw,notes,link
2014-04-11,Liberia,Margibi,,,6,2,,1,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Liberia,Bong,,,5,,,,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Liberia,Nimba,,,3,1,,,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Liberia,Montserrado,,,1,1,,,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Liberia,Grand Cape Mount,,,1,,,,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-14,Mali,,,,6,,,,,,"As of 14 April, the Ministry of Health (MOH) of Mali reports a cumulative total of 6 suspected cases, all of whom remain under medical observation (3 in the capital city of Bamako, and 2 in Kourémalé and 1 in Bankoumana in the Koulikoro Region. The results of testing on these patients at the Institut Pasteur laboratory in Dakar, Senegal, are expected shortly.",http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-14,Sierra Leone,,,,0,0,,,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-16,Guinea,,,,197,122,24,101,56,,"As of 18:00 on 16 April, the Ministry of Health (MOH) of Guinea has reported a cumulative total of 197 clinical cases of Ebola Virus Disease (EVD), including 122 deaths. To date, 101 cases have been laboratory confirmed, including 56 deaths, 43 cases (33 deaths) meet the probable case definition for EVD and 53 cases (33 deaths) are classified as suspected cases. Twenty-four (24) health-care workers (HCW) have been affected with 13 deaths. Clinical cases of EVD have been reported from Conakry (47 cases, including 16 deaths), Guekedou (117/80), Macenta (22/16), Kissidougou (6/5), Dabola (4/4) and Djingaraye (1/1).

Contact tracing activities continue in all affected areas including new contacts generated by a HCW who passed away 3 days ago. In Conakry, 60 community volunteers are assisting the MOH and response partners in following up the 221 contacts currently under medical observation. Seven contacts who developed symptoms have been placed in isolation as a precautionary measure. A total of 249 contacts are being followed in Guekedou, 54 in Macenta 17 in Kissidougou, 63 in Dabola and 2 in Dingaraye.

A total of 36 patients are currently in isolation; 23 in Conakry, 12 in Guéckédou and 1 in Macenta. Clinical teams from WHO, the Global Outbreak Alert and Response Network (GOARN) and Médecins Sans Frontières (MSF) are supporting national medical and nursing staff at the Donka Hospital to strengthen patient triage, case management and infection prevention and control (IPC). Training on the safe handling of patients with EVD and the deceased was conducted jointly by the IPC and Logistics teams at the Donka hospital for staff working at the morgue, and for drivers and staff transporting patients in stretchers. A training of trainers activity for the directors of all 20 Centres de Santé in Conakry is planned for 17 April. IPC training is also scheduled at 2 community health centres tomorrow.

As of 18:00 on 16 April, the Ministry of Health (MOH) of Guinea has reported a cumulative total of 197 clinical cases of Ebola Virus Disease (EVD), including 122 deaths. To date, 101 cases have been laboratory confirmed, including 56 deaths, 43 cases (33 deaths) meet the probable case definition for EVD and 53 cases (33 deaths) are classified as suspected cases. Twenty-four (24) health-care workers (HCW) have been affected with 13 deaths. Clinical cases of EVD have been reported from Conakry (47 cases, including 16 deaths), Guekedou (117/80), Macenta (22/16), Kissidougou (6/5), Dabola (4/4) and Djingaraye (1/1).

Contact tracing activities continue in all affected areas including new contacts generated by a HCW who passed away 3 days ago. In Conakry, 60 community volunteers are assisting the MOH and response partners in following up the 221 contacts currently under medical observation. Seven contacts who developed symptoms have been placed in isolation as a precautionary measure. A total of 249 contacts are being followed in Guekedou, 54 in Macenta 17 in Kissidougou, 63 in Dabola and 2 in Dingaraye.

A total of 36 patients are currently in isolation; 23 in Conakry, 12 in Guéckédou and 1 in Macenta. Clinical teams from WHO, the Global Outbreak Alert and Response Network (GOARN) and Médecins Sans Frontières (MSF) are supporting national medical and nursing staff at the Donka Hospital to strengthen patient triage, case management and infection prevention and control (IPC). Training on the safe handling of patients with EVD and the deceased was conducted jointly by the IPC and Logistics teams at the Donka hospital for staff working at the morgue, and for drivers and staff transporting patients in stretchers. A training of trainers activity for the directors of all 20 Centres de Santé in Conakry is planned for 17 April. IPC training is also scheduled at 2 community health centres tomorrow.",http://www.who.int/csr/don/2014_04_17_ebola/en/
2014-04-16,Guinea,Conakry,,,47,16,,,,,,http://www.who.int/csr/don/2014_04_17_ebola/en/
2014-04-16,Guinea,Guekedou,,,117,80,,,,,,http://www.who.int/csr/don/2014_04_17_ebola/en/
2014-04-16,Guinea,Macenta,,,22,16,,,,,,http://www.who.int/csr/don/2014_04_17_ebola/en/
2014-04-16,Guinea,Kissidougou,,,6,5,,,,,,http://www.who.int/csr/don/2014_04_17_ebola/en/
2014-04-16,Guinea,Dabola,,,4,4,,,,,,http://www.who.int/csr/don/2014_04_17_ebola/en/
2014-04-16,Guinea,Djingararye,,,1,1,,,,,,http://www.who.int/csr/don/2014_04_17_ebola/en/
2014-04-16,Mali,,,,0,0,,,,,The Ministry of Health (MOH) of Mali has on the 16th April reported that the clinical samples on the 6 suspected cases have tested negative for ebolavirus.,http://www.who.int/csr/don/2014_04_17_ebola/en/
2014-04-16,Liberia,,,,27,13,,,,,"As of 16 April the Ministry of Health and Social Welfare (MOHSW) of Liberia has reported a cumulative total of 27 clinical cases of EVD, including 13 deaths attributed to EVD. One new suspected case reported yesterday from Nimba County has been laboratory confirmed as a case of Lassa fever. Two patients remain hospitalised and 33 contacts remain under medical observation. The MOHSW commissioned a new ebolavirus laboratory on 16 April in collaboration with Metabiota.",http://www.who.int/csr/don/2014_04_17_ebola/en/
2014-04-15,Sierra Leone,,,,0,,,0,,,"On 15 April, the Ministry of Health and Sanitation (MOHS) provided a consolidated report of surveillance activities conducted in that country from 19 March onwards. A total of 12 suspected cases have been identified during that period. Two previously reported suspected EVD deaths occurred in individuals from one family who died in Guinea and their bodies repatriated to Sierra Leone for burial. All of the 15 case contacts have completed 21 days of medical follow-up and have remained well. The Metabiota laboratory team working at the Kenema Government Hospital Lassa Fever Isolation Unit have received and tested clinical samples from 11 of the suspected cases using 2 different real-time PCR protocols for Ebola Zaire, other viral haemorrhagic fevers and important locally endemic pathogens. All of the samples have tested negative for ebolavirus and the other pathogens included in the test panel.",http://www.who.int/csr/don/2014_04_17_ebola/en/
2014-04-17,Guinea,,,,203,129,24,109,61,18,"As of 18:00 on 17 April, the Ministry of Health (MOH) of Guinea has reported a cumulative total of 203 clinical cases of Ebola virus disease (EVD), including 129 deaths. To date, 158 patients have been tested for ebolavirus infection and 109 cases have been laboratory confirmed, including 61 deaths. In addition, 41 cases (34 deaths) meet the probable case definition for EVD and 53 cases (34 deaths) are classified as suspected cases. Twenty-four (24) health-care workers (HCW) have been affected (18 confirmed), with 15 deaths (11 confirmed).

Clinical cases of EVD have been reported from Conakry (50 cases, including 20 deaths), Guekedou (120/83), Macenta (22/16), Kissidougou (6/5), Dabola (4/4) and Djingaraye (1/1). Laboratory confirmed cases and deaths have been reported from Conakry (36 cases, including 15 deaths), Guekedou (58/34), Macenta (13/10), Kissidougou (1/1) and Dabola (1/1). These updated figures include 4 new cases isolated on 17 April, one of whom is laboratory confirmed, and 4 deaths among existing cases; 3 of the deaths were patients with confirmed EVD. Twenty-nine (29) patients are currently in isolation in Conakry (17), Guekedou (11) and Macenta (1), while 15 patients who recovered from their illness were discharged from hospital. The female: male ratio among confirmed cases is 1.2 : 1. The median age of 198 clinical cases for whom the age is known is 35 years and the age breakdown is 0-19 years (11%), 20-59 years (72%) and 60 and over (11%).

Contact tracing activities continue in all affected areas. A total of 230 contacts are currently under medical observation and 53 have completed their 21 days of follow-up. Seven contacts who developed symptoms continue in isolation as a precautionary measure.",http://www.who.int/csr/don/2014_04_19_ebola/en/
2014-04-17,Guinea,Conakry,,,50,20,,,,,,http://www.who.int/csr/don/2014_04_19_ebola/en/
2014-04-17,Guinea,Guekedou,,,120,83,,,,,,http://www.who.int/csr/don/2014_04_19_ebola/en/
2014-04-17,Guinea,Macenta,,,22,16,,,,,,http://www.who.int/csr/don/2014_04_19_ebola/en/
2014-04-17,Guinea,Kissidougou,,,6,5,,,,,,http://www.who.int/csr/don/2014_04_19_ebola/en/
2014-04-17,Guinea,Dabola,,,4,4,,,,,,http://www.who.int/csr/don/2014_04_19_ebola/en/
2014-04-17,Guinea,Djingararye,,,1,1,,,,,,http://www.who.int/csr/don/2014_04_19_ebola/en/
2014-04-17,Liberia,,,,27,13,,,,,"In Liberia, the epidemiological situation remains the same. Intensive surveillance activities and other preventive measures are ongoing. No new laboratory confirmed cases of EVD have been reported from Liberia today",http://www.who.int/csr/don/2014_04_19_ebola/en/
2014-04-20,Guinea,,,,208,136,25,112,69,16,"As of 18:00 on 20 April, the Ministry of Health (MOH) of Guinea has reported a cumulative total of 208 clinical cases of Ebola Virus Disease (EVD), including 136 deaths. To date, 169 patients have been tested for ebolavirus infection and 112 cases have been laboratory confirmed, including 69 deaths. In addition, 41 cases (34 deaths) meet the probable case definition for EVD and 55 cases (33 deaths) are classified as suspected cases. Twenty-five (25) health care workers (HCW) have been affected (18 confirmed), with 16 deaths (12 confirmed).

Contact tracing activities continue in all affected areas. A total of 217 contacts are currently under medical observation and 92 have completed their 21 days of follow-up.",http://www.who.int/csr/don/2014_04_22_ebola/en/
2014-04-20,Guinea,Conakry,,,53,23,,37,19,,,http://www.who.int/csr/don/2014_04_22_ebola/en/
2014-04-20,Guinea,Guekedou,,,122,87,,60,38,,,http://www.who.int/csr/don/2014_04_22_ebola/en/
2014-04-20,Guinea,Macenta,,,22,16,,13,10,,,http://www.who.int/csr/don/2014_04_22_ebola/en/
2014-04-20,Guinea,Kissidougou,,,6,5,,1,1,,,http://www.who.int/csr/don/2014_04_22_ebola/en/
2014-04-20,Guinea,Dabola,,,4,4,,1,1,,,http://www.who.int/csr/don/2014_04_22_ebola/en/
2014-04-20,Guinea,Djingararye,,,1,1,,0,0,,,http://www.who.int/csr/don/2014_04_22_ebola/en/
2014-04-21,Liberia,,,,34,11,2,6,6,,"From 13 March, the date of onset of the first laboratory confirmed case in Liberia, to 21 April, the Ministry of Health and Social Welfare of Liberia has reported a total of 34 clinically compatible cases of EVD; 6 confirmed cases, including 6 deaths, 2 probable cases and 26 suspected cases. The date of onset of the most recent confirmed case was 6 April and the date of admission of the last confirmed case was 10 April. The confirmed and probable cases were reported from Lofa and Margibi Counties, while suspected cases have been reported from Bong, Grand Cape Mount, Montserrado and Nimba Counties as a result of enhanced surveillance and contact tracing activities.

The number of confirmed cases in HCWs has been adjusted down from 3 cases to two as data are reviewed against case definitions and laboratory results. The total number of deaths has also been revised from 13 to 11 as one of the deaths has been counted in the EVD statistics for Guinea and one death occurred in a discarded case. As laboratory tests have been conducted on 32 clinical samples overall only 6 of which have tested positive for ebolavirus to date, it is anticipated that most of the suspected cases currently reported by Liberia will be reclassified as discarded and removed from the case count in the future.

Following data review, the number of contacts now stands at 162 in total; Foya district, Lofa County, the epicentre of the EVD outbreak in Liberia accounts for 72% (116) of the total contacts followed by Margibi County (17%, 28 contacts). Fifty-nine contacts (36% of the total) have completed 21 days follow up and have been discharged from medical observation.",http://www.who.int/csr/don/2014_04_22_ebola/en/
2014-04-22,Sierra Leone,,,,0,,,,,,"As of 22 April 2014, clinical samples from 19 clinically compatible cases of EVD have been tested at the Kenema Government Hospital. All 19 samples tested negative for ebolavirus. As part of enhanced surveillance activities, the Ministry of Health and Sanitation of Sierra Leone also decided to test for the presence of ebolavirus in samples from patients referred to the Lassa Fever Isolation Ward of the Kenema Hospital for the investigation of viral hemorrhagic fever-like illness who tested negative for Lassa fever virus infection. The additional 24 blood samples collected from 16 March 2014 onwards were analysed and all tested negative for ebolavirus.",http://www.who.int/csr/don/2014_04_22_ebola/en/
2014-04-23,Guinea,,,,218,141,26,115,72,18,"As of 18:00 on 23 April, the Ministry of Health (MOH) of Guinea has reported a cumulative total of 218 clinical cases of Ebola Virus Disease (EVD), including 141 deaths. To date, 191 patients have been tested for ebolavirus infection and 115 cases have been laboratory confirmed, including 72 deaths. In addition, 42 cases (34 deaths) meet the probable case definition for EVD and 61 cases (35 deaths) are classified as suspected cases. Twenty-six (26) health care workers (HCW) have been affected (18 confirmed), with 16 deaths (12 confirmed).

Clinical cases of EVD have been reported from Conakry (58 cases, including 24 deaths), Guekedou (127/91), Macenta (22/16), Kissidougou (6/5), Dabola (4/4) and Djingaraye (1/1). Laboratory confirmed cases and deaths have been reported from Conakry (37 cases, including 19 deaths), Guekedou (63/41), Macenta (13/10), Kissidougou (1/1) and Dabola (1/1). The date of onset of the most recent clinical case, a suspected case, is 23 April while the date of isolation of the most recent confirmed case is 22 April. Two new deaths have also been reported among existing cases; one of the deaths was a patient with confirmed EVD. Thirteen (13) patients are in isolation in Conakry (6 patients, 5 confirmed), Guekedou (7 patients, all confirmed). Contact tracing activities continue in all affected areas.",http://www.who.int/csr/don/2014_04_25_ebola/en/
2014-04-23,Guinea,Conakry,,,58,24,,37,19,,"Clinical cases of EVD have been reported from Conakry (53 cases, including 23 deaths), Guekedou (122/87), Macenta (22/16), Kissidougou (6/5), Dabola (4/4) and Djingaraye (1/1). Laboratory confirmed cases and deaths have been reported from Conakry (37 cases, including 19 deaths), Guekedou (60/38), Macenta (13/10), Kissidougou (1/1) and Dabola (1/1). These updated figures include 3 new cases isolated on 20 April from Conakry and Guekedou, 2 of whom are laboratory confirmed. Five new deaths have also been reported among existing cases; all 5 of the deaths were patients with confirmed EVD. Twenty-one (21) patients were in isolation in Conakry (12), Guekedou (8) and Macenta (1), while 16 patients who recovered from their illness were discharged from hospital.",http://www.who.int/csr/don/2014_04_25_ebola/en/
2014-04-23,Guinea,Guekedou,,,127,91,,60,38,,"Clinical cases of EVD have been reported from Conakry (53 cases, including 23 deaths), Guekedou (122/87), Macenta (22/16), Kissidougou (6/5), Dabola (4/4) and Djingaraye (1/1). Laboratory confirmed cases and deaths have been reported from Conakry (37 cases, including 19 deaths), Guekedou (60/38), Macenta (13/10), Kissidougou (1/1) and Dabola (1/1). These updated figures include 3 new cases isolated on 20 April from Conakry and Guekedou, 2 of whom are laboratory confirmed. Five new deaths have also been reported among existing cases; all 5 of the deaths were patients with confirmed EVD. Twenty-one (21) patients were in isolation in Conakry (12), Guekedou (8) and Macenta (1), while 16 patients who recovered from their illness were discharged from hospital.",http://www.who.int/csr/don/2014_04_25_ebola/en/
2014-04-23,Guinea,Macenta,,,22,16,,13,10,,"Clinical cases of EVD have been reported from Conakry (53 cases, including 23 deaths), Guekedou (122/87), Macenta (22/16), Kissidougou (6/5), Dabola (4/4) and Djingaraye (1/1). Laboratory confirmed cases and deaths have been reported from Conakry (37 cases, including 19 deaths), Guekedou (60/38), Macenta (13/10), Kissidougou (1/1) and Dabola (1/1). These updated figures include 3 new cases isolated on 20 April from Conakry and Guekedou, 2 of whom are laboratory confirmed. Five new deaths have also been reported among existing cases; all 5 of the deaths were patients with confirmed EVD. Twenty-one (21) patients were in isolation in Conakry (12), Guekedou (8) and Macenta (1), while 16 patients who recovered from their illness were discharged from hospital.",http://www.who.int/csr/don/2014_04_25_ebola/en/
2014-04-23,Guinea,Kissidougou,,,6,5,,1,1,,"Clinical cases of EVD have been reported from Conakry (53 cases, including 23 deaths), Guekedou (122/87), Macenta (22/16), Kissidougou (6/5), Dabola (4/4) and Djingaraye (1/1). Laboratory confirmed cases and deaths have been reported from Conakry (37 cases, including 19 deaths), Guekedou (60/38), Macenta (13/10), Kissidougou (1/1) and Dabola (1/1). These updated figures include 3 new cases isolated on 20 April from Conakry and Guekedou, 2 of whom are laboratory confirmed. Five new deaths have also been reported among existing cases; all 5 of the deaths were patients with confirmed EVD. Twenty-one (21) patients were in isolation in Conakry (12), Guekedou (8) and Macenta (1), while 16 patients who recovered from their illness were discharged from hospital.",http://www.who.int/csr/don/2014_04_25_ebola/en/
2014-04-23,Guinea,Dabola,,,4,4,,1,1,,"Clinical cases of EVD have been reported from Conakry (53 cases, including 23 deaths), Guekedou (122/87), Macenta (22/16), Kissidougou (6/5), Dabola (4/4) and Djingaraye (1/1). Laboratory confirmed cases and deaths have been reported from Conakry (37 cases, including 19 deaths), Guekedou (60/38), Macenta (13/10), Kissidougou (1/1) and Dabola (1/1). These updated figures include 3 new cases isolated on 20 April from Conakry and Guekedou, 2 of whom are laboratory confirmed. Five new deaths have also been reported among existing cases; all 5 of the deaths were patients with confirmed EVD. Twenty-one (21) patients were in isolation in Conakry (12), Guekedou (8) and Macenta (1), while 16 patients who recovered from their illness were discharged from hospital.",http://www.who.int/csr/don/2014_04_25_ebola/en/
2014-04-23,Guinea,Djingararye,,,1,1,,0,0,,"Clinical cases of EVD have been reported from Conakry (53 cases, including 23 deaths), Guekedou (122/87), Macenta (22/16), Kissidougou (6/5), Dabola (4/4) and Djingaraye (1/1). Laboratory confirmed cases and deaths have been reported from Conakry (37 cases, including 19 deaths), Guekedou (60/38), Macenta (13/10), Kissidougou (1/1) and Dabola (1/1). These updated figures include 3 new cases isolated on 20 April from Conakry and Guekedou, 2 of whom are laboratory confirmed. Five new deaths have also been reported among existing cases; all 5 of the deaths were patients with confirmed EVD. Twenty-one (21) patients were in isolation in Conakry (12), Guekedou (8) and Macenta (1), while 16 patients who recovered from their illness were discharged from hospital.",http://www.who.int/csr/don/2014_04_25_ebola/en/
2014-04-24,Liberia,,,,35,,,6,,,"From 13 March, the date of onset of the first laboratory confirmed case in Liberia, to 24 April, the Ministry of Health and Social Welfare (MOHSW) of Liberia has reported a total of 35 clinically compatible cases of EVD; 6 confirmed cases, 2 probable cases and 27 suspected cases. The date of onset of the most recent confirmed case was 6 April. The MOHSW has started to reclassify suspected cases against their laboratory test results. Most of the suspected cases are expected to be discarded at the end of this process",http://www.who.int/csr/don/2014_04_25_ebola/en/
2014-04-24,Sierra Leone,,,,0,,,,,,The Ministry of Health and Sanitation of Sierra Leone is currently investigating 3 patients with an illness compatible with a viral haemorrhagic fever (VHF) for EVD and Lassa fever (the latter is endemic in Sierra Leone). All rumours of EVD cases are being investigated and active case finding is also ongoing.,http://www.who.int/csr/don/2014_04_25_ebola/en/
2014-04-26,Guinea,,,,224,143,25,121,74,19,"As of 18:00 on 26 April 2014, the Ministry of Health (MOH) of Guinea has reported a cumulative total of 224 clinical cases of Ebola Virus Disease (EVD), including 143 deaths. To date, 202 patients have been tested for ebolavirus infection and 121 cases have been laboratory confirmed, including 74 deaths. In addition, 41 cases (34 deaths) meet the probable case definition for EVD and 62 cases (35 deaths) are classified as suspected cases. A revised number of 25 health care workers (HCW) have been affected (19 confirmed), with 16 deaths (12 confirmed); the number of HCW was previously reported as 26.",http://www.who.int/csr/don/2014_04_28_ebola/en/
